Table 2 
The Derived Parameters of the Radial Oxygen and Nitrogen Abundance Distributions in Galaxies


Galaxy	12+log(O/H)$_{R_{0}}$	O/H Gradient	O/H Gradient	sigma(O/H)	12+log(N/H)$_{R_{0}}$	N/H Gradient	N/H Gradient	sigma(N/H)	
dex $R_{25}^{-1}$	dex kpc^-1	dex	dex $R_{25}^{-1}$	dex kpc^-1	dex	
NGC0012	8.56+or-0.02	0.015+or-0.042	0.0011+or-0.0032	0.033	7.74+or-0.04	-0.008+or-0.087	-0.0006+or-0.0066	0.068	
NGC0055	8.04+or-0.05	-0.053+or-0.094	-0.0059+or-0.0104	0.075	6.50+or-0.07	-0.037+or-0.131	-0.0042+or-0.0145	0.091	
NGC0099	8.55+or-0.04	-0.319+or-0.072	-0.0202+or-0.0045	0.055	7.70+or-0.07	-0.666+or-0.137	-0.0422+or-0.0087	0.105	
NGC0224	8.72+or-0.02	-0.352+or-0.039	-0.0172+or-0.0019	0.077	8.17+or-0.04	-0.996+or-0.072	-0.0486+or-0.0035	0.136	
NGC0234	8.65+or-0.01	-0.154+or-0.022	-0.0109+or-0.0015	0.027	7.91+or-0.02	-0.329+or-0.046	-0.0234+or-0.0033	0.058	
NGC0253	8.55+or-0.13	-0.125+or-0.164	-0.0090+or-0.0119	0.055	7.60+or-0.35	-0.241+or-0.441	-0.0174+or-0.0319	0.149	
NGC0300	8.51+or-0.02	-0.519+or-0.040	-0.0842+or-0.0065	0.069	7.47+or-0.04	-0.955+or-0.080	-0.1548+or-0.0129	0.130	
NGC0428	8.20+or-0.06	-0.035+or-0.109	-0.0040+or-0.0124	0.059	6.95+or-0.11	-0.118+or-0.184	-0.0135+or-0.0210	0.099	
NGC0450	8.35+or-0.03	-0.285+or-0.057	-0.0340+or-0.0067	0.046	7.24+or-0.06	-0.589+or-0.112	-0.0702+or-0.0133	0.092	
NGC0493	8.51+or-0.04	-0.450+or-0.070	-0.0393+or-0.0061	0.053	7.53+or-0.07	-0.893+or-0.124	-0.0780+or-0.0109	0.093	
NGC0575	8.58+or-0.01	-0.195+or-0.026	-0.0189+or-0.0025	0.026	7.82+or-0.03	-0.530+or-0.061	-0.0514+or-0.0059	0.060	
NGC0598	8.48+or-0.02	-0.359+or-0.041	-0.0459+or-0.0053	0.073	7.47+or-0.04	-0.691+or-0.084	-0.0883+or-0.0107	0.145	
NGC0628	8.78+or-0.01	-0.572+or-0.027	-0.0379+or-0.0018	0.060	8.17+or-0.03	-1.292+or-0.064	-0.0856+or-0.0042	0.137	
