Metallicity,\multicolumn{2}{c}{FMR Best Fit},$\sigma_{\rm FMR}$,\multicolumn{4}{c}{pFMR Polynomial fit},$\sigma_{pFMR}$
Indicator,$a$,$b$,(dex),$p_0$,$p_1$,$p_2$,$p_3$,(dex)
O3N2-M13,8.55 $\pm$ 0.01,0.016 $\pm$ 0.002,0.086,8.219 $\pm$ 0.236,-0.392 $\pm$ 0.372,0.421 $\pm$ 0.188,-0.086 $\pm$ 0.031,0.071
PP04,8.80 $\pm$ 0.02,0.024 $\pm$ 0.002,0.125,8.268 $\pm$ 0.356,-0.503 $\pm$ 0.556,0.582 $\pm$ 0.279,-0.121 $\pm$ 0.045,0.103
N2-M13,8.54 $\pm$ 0.01,0.017 $\pm$ 0.001,0.085,7.681 $\pm$ 0.155,0.306 $\pm$ 0.252,0.112 $\pm$ 0.130,-0.041 $\pm$ 0.022,0.075
ONS,8.56 $\pm$ 0.02,0.022 $\pm$ 0.002,0.117,9.179 $\pm$ 0.482,-2.244 $\pm$ 0.754,1.444 $\pm$ 0.377,-0.260 $\pm$ 0.061,0.102
R23,8.51 $\pm$ 0.03,0.007 $\pm$ 0.003,0.090,10.996 $\pm$ 0.961,-4.270 $\pm$ 1.498,2.218 $\pm$ 0.756,-0.362 $\pm$ 0.124,0.114
pyqz,9.08 $\pm$ 0.04,0.032 $\pm$ 0.003,0.167,9.241 $\pm$ 0.344,-2.262 $\pm$ 0.567,1.653 $\pm$ 0.298,-0.312 $\pm$ 0.051,0.140
t2,8.89 $\pm$ 0.02,0.018 $\pm$ 0.001,0.094,8.358 $\pm$ 0.180,-0.267 $\pm$ 0.286,0.408 $\pm$ 0.145,-0.088 $\pm$ 0.024,0.080
M08,8.97 $\pm$ 0.01,0.026 $\pm$ 0.001,0.153,7.961 $\pm$ 0.293,0.115 $\pm$ 0.458,0.301 $\pm$ 0.229,-0.077 $\pm$ 0.037,0.139
%M08,8.75 $\pm$ 0.02,0.024 $\pm$ 0.002,0.125,8.307 $\pm$ 0.286,-0.657 $\pm$ 0.454,0.656 $\pm$ 0.231,-0.132 $\pm$ 0.038,0.103
T04,8.88 $\pm$ 0.04,0.012 $\pm$ 0.003,0.130,11.572 $\pm$ 1.122,-4.755 $\pm$ 1.748,2.449 $\pm$ 0.880,-0.390 $\pm$ 0.144,0.143
EPM09,8.55 $\pm$ 0.01,0.007 $\pm$ 0.001,0.073,7.750 $\pm$ 0.267,0.767 $\pm$ 0.450,-0.217 $\pm$ 0.240,0.014 $\pm$ 0.041,0.073
D0P09,9.12 $\pm$ 0.06,0.047 $\pm$ 0.005,0.254,9.050 $\pm$ 0.239,-2.226 $\pm$ 0.377,1.549 $\pm$ 0.190,-0.264 $\pm$ 0.031,0.188
