Metallicity,\multicolumn{3}{c}{FP Best Fit},$\sigma$ FP-res
Indicator,$\alpha$,$\beta$,$\gamma$,(dex)
O3N2,0.19 $\pm$ 0.02,-0.054 $\pm$ 0.022,8.044 $\pm$ 0.054,0.074
PP04,0.27 $\pm$ 0.03,-0.078 $\pm$ 0.027,8.062 $\pm$ 0.065,0.106
N2,0.21 $\pm$ 0.02,-0.059 $\pm$ 0.022,7.972 $\pm$ 0.055,0.076
ONS,0.23 $\pm$ 0.03,-0.041 $\pm$ 0.027,7.916 $\pm$ 0.066,0.102
R23,0.13 $\pm$ 0.03,-0.063 $\pm$ 0.024,8.155 $\pm$ 0.058,0.084
pyqz,0.35 $\pm$ 0.03,-0.056 $\pm$ 0.031,8.117 $\pm$ 0.077,0.144
t2,0.21 $\pm$ 0.03,-0.057 $\pm$ 0.024,8.302 $\pm$ 0.058,0.083
M08,0.31 $\pm$ 0.03,-0.105 $\pm$ 0.031,8.123 $\pm$ 0.076,0.143
%M08,0.27 $\pm$ 0.03,-0.078 $\pm$ 0.027,7.994 $\pm$ 0.066,0.108
T04,0.19 $\pm$ 0.03,-0.078 $\pm$ 0.029,8.357 $\pm$ 0.070,0.121
EPM09,0.06 $\pm$ 0.02,-0.017 $\pm$ 0.022,8.391 $\pm$ 0.054,0.071
DOP09,0.59 $\pm$ 0.04,-0.200 $\pm$ 0.037,7.488 $\pm$ 0.089,0.194
