Galaxy,$z_{	extnormal{\scriptsize spec}}$,$\log(M_{\star}/M_{\odot})$,$12 + \log(	extnormal{O/H})$,Magnification
RX2129--ID11002,8.160,$8.49^{+0.24}_{-0.32}$,$7.65^{+0.07}_{-0.07}$,2.23
RX2129--ID11022,8.150,$7.52^{+0.33}_{-0.35}$,$7.51$\footnote{$1\sigma$ upper limit},3.29
RX2129--ID11027,9.510,$7.74^{+0.23}_{-0.29}$,$7.47^{+0.09}_{-0.09}$,19.60
SMACS0723--ID4590,8.498,$8.00^{+0.36}_{-0.51}$,$6.99^{+0.11}_{-0.11}$,10.09
SMACS0723--ID6355,7.665,$8.22^{+0.20}_{-0.18}$,$8.24^{+0.07}_{-0.07}$,2.69
SMACS0723--ID10612,7.663,$8.40^{+0.15}_{-0.24}$,$7.73^{+0.12}_{-0.12}$,1.58
SXDF--NB1006--2,7.212,$9.31^{+0.41}_{-0.47}$,$7.36^{+0.71}_{-0.21}$ \footnote{Only the statistical uncertainty; an extra $\pm 0.2$ dex systematic uncertainty should be considered, see \cite{jones+2020}. These metallicities are corrected for the 0.2 dex offset reported in \cite{jones+2020}\label{jones unc}},1.00
B14--65666,7.152,$9.90^{+0.25}_{-0.33}$,$7.94^{+0.10}_{-0.16}$ \footnoteref{jones unc},1.00
MACS0416--Y1,8.312,$9.96^{+0.28}_{-0.23}$,$8.03^{+0.10}_{-0.69}$ \footnoteref{jones unc},1.60
A2744--YD4,8.382,$10.03^{+0.40}_{-0.38}$,$7.44^{+0.28}_{-0.32}$ \footnoteref{jones unc},1.50
MACS1149--JD1,9.110,$9.31^{+0.19}_{-0.14}$,$7.95^{+0.15}_{-0.14}$ \footnoteref{jones unc},11.50
