2MFGC12344            0.141    665      10.58    0.15    1.17
OGC0139               0.247   1244   <  10.66    ---     1.15
OGC0217               0.249   1254      10.99    0.16    1.05
OGC0290               0.296   1528      11.01    0.17    1.05
OGC0345               0.222   1104      10.89    0.16    1.08
OGC0454               0.259   1310      10.86    0.18    1.03
OGC0543               0.109    505      10.53    0.15    1.46
OGC0586               0.167    801      10.85    0.15    1.18
OGC0595               0.223   1105      10.60    0.19    1.09
OGC0789               0.157    748      10.62    0.14    1.08
OGC0800               0.144    681      10.60    0.15    1.14
OGC0830               0.158    753      10.26    0.19    1.14
OGC0926               0.161    770      10.86    0.15    1.16
OGC0928               0.273   1391   <  10.88    ---     1.03
OGC0968               0.219   1086      10.81    0.16    1.04
OGC1250               0.166    797      10.60    0.16    1.16
OGC1273               0.231   1152      10.53    0.22    1.04
OGC1304               0.164    789      10.57    0.16    1.43
OGC1379               0.179    869      10.35    0.23    1.07
OGC1457               0.239   1198      10.67    0.17    1.04
OGC1464               0.298   1543      11.09    0.16    1.13
OGC1501               0.172    830      10.74    0.15    1.07
OGC1546               0.137    647      10.17    0.19    1.13
OGC1559               0.089    407      10.44    0.14    1.69
J00493937+1341067     0.133    626      10.70    0.15    1.10
J01593759+1231120     0.164    786      10.85    0.15    1.04
J03091553+0025080     0.108    500      10.28    0.16    1.10
J03502457+0058530     0.165    791      10.66    0.17    1.05
J07521780+1935423     0.117    546       9.89    0.19    1.13
J08045271+2120504     0.125    583       9.94    0.20    1.11
J08055992+2606027     0.137    644      10.23    0.19    1.07
J08185186+1013117     0.082    371      10.24    0.15    1.25
J08211000+0748139     0.198    970   <  10.31    ---     1.06
J08293057+0812383     0.130    608      10.11    0.19    1.06
J09044020+1725124     0.093    424      10.38    0.15    1.25
J09072322+0948348     0.180    869      10.75    0.17    1.06
J09142624+1024093     0.176    851      10.74    0.16    1.09
J09193819+3336120     0.165    794      10.69    0.17    1.09
J09354887+0937188     0.133    627      10.47    0.15    1.14
J09381483+0200236     0.175    843      10.47    0.18    1.13
J09405816+1904371     0.159    762      10.76    0.16    1.06
J09473320+1005093     0.140    659      10.05    0.19    1.12
J10005570+3140007     0.195    953      10.48    0.17    1.03
J10222648+0911396     0.091    418      10.23    0.15    1.27
J10335255+0044033     0.132    618       9.83    0.24    1.12
J10340239+3452104     0.071    320      10.99    0.12    1.11
J10375221+3125004     0.160    765      10.23    0.22    1.13
J10500776+1132290     0.133    628      10.36    0.16    1.11
J10500425+1205195     0.135    638      10.60    0.15    1.15
J10523297+1036205     0.088    401      10.60    0.16    2.20
J10542879+2049141     0.191    929      10.65    0.17    1.04
J11052843+0736413     0.152    725      10.55    0.18    1.23
J11302884+1301197     0.135    637      10.11    0.22    1.09
J11341760+1751336     0.180    874      10.53    0.18    1.09
J11444504+1111056     0.153    730   <  10.13    ---     1.06
J12063088+2221045     0.106    491      10.60    0.14    1.15
J12284130+0725421     0.163    781      10.59    0.17    1.06
J12393314+1058037     0.075    338      10.16    0.15    1.09
J12533769+2126177     0.127    597   <   9.80    ---     1.03
J13003624+1347055     0.142    672      10.25    0.19    1.09
J13390599+1627261     0.173    832   <  10.36    ---     1.04
J13413717+0848096     0.079    356      10.26    0.15    1.39
J13473338+1217245     0.122    568      10.79    0.13    1.13
J14014270+0119379     0.139    656      10.31    0.17    1.09
J14131920+3649184     0.172    828      10.61    0.18    1.06
J14190190+2809409     0.138    651      10.47    0.16    1.09
J14322461+0050419     0.124    582      10.22    0.19    1.24
J14394590+2018469     0.119    554      10.26    0.18    1.13
J15051087+0503026     0.074    333      10.56    0.14    1.42
J15590130+1610517     0.139    655      10.67    0.15    1.13
J16045551+2809563     0.077    349      10.50    0.14    1.40
J16373623+2022167     0.118    549      10.39    0.15    1.10
J21020534-0647558     0.127    597      10.37    0.18    1.08
J23463606+1356475     0.117    542      10.54    0.15    1.16
IC2218                0.043    191       9.59    0.17    1.40
NGC2620               0.026    114       9.53    0.18    2.66
NGC2713               0.013     57       9.63    0.15    6.13
IC2446                0.026    116      10.09    0.14    2.42
IC536                 0.027    119       9.31    0.18    1.63
UGC05830              0.044    195      10.28    0.13    1.45
UGC06066              0.039    174       9.11    0.22    1.83
UGC08179              0.052    230      10.65    0.13    1.67
IC881                 0.023    102   <   8.84    ---     2.08
UGC08902              0.026    112      10.07    0.13    2.25
NGC5417               0.016     71   <   8.87    ---     3.12
NGC5440               0.012     53       9.47    0.16    6.26
UGC09195              0.050    222      10.03    0.15    2.06
NGC5635               0.014     62       9.32    0.16    4.84
NGC5790               0.037    162       9.78    0.16    2.07
UGC09757              0.040    177      10.17    0.15    1.61
UGC09795              0.044    196      10.21    0.15    1.67
UGC12591              0.023    101       9.55    0.16    2.39
