r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.291e+00,5.301e+02,1.2e+00,3.904e+00,1.3e-01,3.727e+03,2.4e+00,nan,nan
0.75,1.241e+00,1.404e+02,6.8e-01,3.933e+00,1.3e-01,6.534e+02,1.6e+00,nan,nan
1.25,1.194e+00,4.322e+01,4.7e-01,3.940e+00,1.2e-01,2.395e+02,1.3e+00,nan,nan
1.75,1.148e+00,1.920e+01,3.5e-01,3.988e+00,1.1e-01,2.282e+02,1.8e+00,nan,nan
2.25,1.104e+00,1.500e+01,2.7e-01,4.003e+00,1.1e-01,1.162e+02,1.0e+00,nan,nan
2.75,1.062e+00,8.849e+00,2.1e-01,3.935e+00,1.1e-01,9.107e+01,8.8e-01,nan,nan
3.25,1.021e+00,5.869e+00,1.7e-01,3.813e+00,1.0e-01,7.797e+01,1.0e+00,nan,nan
3.75,9.821e-01,2.971e+00,1.5e-01,3.654e+00,9.9e-02,8.744e+01,1.2e+00,nan,nan
4.25,9.445e-01,9.857e-01,1.4e-01,3.511e+00,9.5e-02,5.405e+01,1.1e+00,nan,nan
4.75,9.084e-01,9.391e-01,1.3e-01,3.460e+00,9.3e-02,3.132e+01,9.0e-01,nan,nan
5.25,8.736e-01,0.000e+00,1.6e-01,3.498e+00,9.1e-02,6.081e+01,1.2e+00,nan,nan
5.75,8.402e-01,0.000e+00,2.1e-01,3.639e+00,8.9e-02,4.959e+01,1.1e+00,nan,nan
6.25,8.081e-01,0.000e+00,3.6e-01,3.835e+00,8.8e-02,6.600e+01,1.2e+00,nan,nan
6.75,7.771e-01,0.000e+00,7.5e-01,4.084e+00,8.4e-02,4.147e+01,1.1e+00,nan,nan
7.25,7.474e-01,nan,nan,4.301e+00,8.0e-02,8.449e+01,1.4e+00,nan,nan
7.75,7.188e-01,nan,nan,4.506e+00,7.6e-02,5.005e+01,1.3e+00,nan,nan
8.25,6.913e-01,nan,nan,4.652e+00,7.2e-02,7.871e+01,1.4e+00,nan,nan
