r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.093e+00,4.846e+01,3.2e-01,nan,nan,6.378e+02,5.1e-01,3.258e-02,2.1e-04
0.75,1.035e+00,7.667e+00,2.0e-01,nan,nan,2.144e+02,3.0e-01,1.573e-02,1.8e-04
1.25,9.809e-01,6.095e+00,1.6e-01,nan,nan,1.753e+02,2.6e-01,8.638e-03,1.5e-04
1.75,9.294e-01,6.493e+00,1.2e-01,nan,nan,1.472e+02,2.2e-01,7.823e-03,1.5e-04
2.25,8.806e-01,7.017e+00,1.1e-01,nan,nan,1.107e+02,1.7e-01,9.327e-03,1.4e-04
2.75,8.344e-01,5.029e+00,1.0e-01,nan,nan,7.556e+01,1.4e-01,8.473e-03,1.3e-04
3.25,7.906e-01,3.887e+00,9.0e-02,nan,nan,5.577e+01,1.4e-01,5.366e-03,1.2e-04
3.75,7.491e-01,1.575e+00,8.2e-02,nan,nan,4.261e+01,1.4e-01,2.950e-03,1.1e-04
4.25,7.098e-01,2.100e+00,1.0e-01,nan,nan,3.294e+01,1.4e-01,2.119e-03,1.0e-04
4.75,6.725e-01,2.530e+00,1.2e-01,nan,nan,2.284e+01,1.3e-01,1.566e-03,9.3e-05
5.25,6.372e-01,1.942e+00,1.5e-01,nan,nan,1.697e+01,1.3e-01,9.201e-04,8.5e-05
5.75,6.037e-01,9.663e-01,1.9e-01,nan,nan,1.172e+01,1.2e-01,6.199e-04,8.3e-05
6.25,5.720e-01,9.692e-01,2.8e-01,nan,nan,5.912e+00,9.7e-02,0.000e+00,7.4e-05
6.75,5.420e-01,0.000e+00,5.0e-01,nan,nan,3.806e+00,9.4e-02,0.000e+00,6.3e-05
7.25,5.136e-01,0.000e+00,1.1e+00,nan,nan,2.411e+00,9.1e-02,0.000e+00,5.4e-05
7.75,4.866e-01,nan,nan,nan,nan,1.547e+00,8.8e-02,0.000e+00,5.1e-05
8.25,4.610e-01,nan,nan,nan,nan,9.512e-01,8.6e-02,0.000e+00,5.5e-05
8.75,4.368e-01,nan,nan,nan,nan,6.520e-01,8.3e-02,0.000e+00,5.3e-05
9.25,4.139e-01,nan,nan,nan,nan,4.192e-01,8.1e-02,0.000e+00,4.4e-05
