r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.026e+00,8.584e+00,4.6e-01,3.244e+00,5.5e-01,2.311e+02,6.7e-01,6.628e-03,2.6e-04
0.75,9.889e-01,6.041e+00,2.9e-01,3.688e+00,5.5e-01,1.344e+02,3.4e-01,7.111e-03,2.6e-04
1.25,9.530e-01,6.544e+00,2.2e-01,4.094e+00,5.3e-01,8.644e+01,2.4e-01,6.758e-03,2.2e-04
1.75,9.184e-01,3.339e+00,1.7e-01,4.638e+00,4.4e-01,6.351e+01,2.1e-01,4.200e-03,1.7e-04
2.25,8.850e-01,4.055e+00,1.5e-01,5.413e+00,3.8e-01,5.011e+01,1.9e-01,3.128e-03,1.6e-04
2.75,8.529e-01,3.853e+00,1.3e-01,5.931e+00,3.5e-01,3.760e+01,1.5e-01,3.965e-03,1.5e-04
3.25,8.219e-01,4.513e+00,1.3e-01,6.112e+00,3.1e-01,3.370e+01,1.3e-01,3.783e-03,1.5e-04
3.75,7.921e-01,2.090e+00,1.3e-01,6.073e+00,2.9e-01,2.966e+01,1.3e-01,2.677e-03,1.3e-04
4.25,7.633e-01,1.980e+00,1.6e-01,5.962e+00,2.7e-01,2.474e+01,1.2e-01,2.320e-03,1.2e-04
4.75,7.356e-01,2.134e+00,1.9e-01,5.889e+00,2.4e-01,1.757e+01,1.1e-01,2.363e-03,1.2e-04
5.25,7.089e-01,1.287e+00,2.6e-01,5.995e+00,2.2e-01,1.122e+01,8.0e-02,2.800e-03,1.2e-04
5.75,6.832e-01,0.000e+00,2.7e-01,6.158e+00,2.0e-01,7.671e+00,7.0e-02,2.520e-03,1.1e-04
6.25,6.584e-01,0.000e+00,3.2e-01,6.185e+00,1.9e-01,5.177e+00,5.9e-02,2.421e-03,1.1e-04
6.75,6.345e-01,0.000e+00,3.9e-01,5.908e+00,1.8e-01,4.210e+00,5.6e-02,2.287e-03,1.1e-04
7.25,6.114e-01,0.000e+00,5.0e-01,5.490e+00,1.7e-01,3.638e+00,5.6e-02,1.610e-03,9.7e-05
7.75,5.892e-01,0.000e+00,6.3e-01,4.967e+00,1.5e-01,3.814e+00,7.2e-02,9.286e-04,9.5e-05
8.25,5.679e-01,0.000e+00,7.2e-01,4.541e+00,1.5e-01,3.091e+00,7.5e-02,6.457e-04,8.9e-05
8.75,5.472e-01,0.000e+00,8.6e-01,4.045e+00,1.4e-01,3.381e+00,8.9e-02,0.000e+00,9.2e-05
9.25,5.274e-01,0.000e+00,1.0e+00,3.673e+00,1.4e-01,2.904e+00,8.6e-02,0.000e+00,8.6e-05
9.75,5.082e-01,0.000e+00,1.3e+00,3.389e+00,1.3e-01,2.207e+00,8.2e-02,0.000e+00,8.5e-05
10.25,4.898e-01,0.000e+00,1.7e+00,3.316e+00,1.3e-01,1.542e+00,8.1e-02,0.000e+00,8.4e-05
10.75,4.720e-01,0.000e+00,2.4e+00,3.249e+00,1.2e-01,1.144e+00,8.0e-02,0.000e+00,8.0e-05
