r_gal,Zprime,Sigma_mol,e_Sigma_mol,Sigma_atom,e_Sigma_atom,Sigma_star,e_Sigma_star,Sigma_SFR_FUVW4recal,e_Sigma_SFR_FUVW4recal
0.25,1.116e+00,2.327e+01,9.1e-01,0.000e+00,2.9e-03,6.204e+02,8.9e-01,1.025e-02,2.5e-04
0.75,1.061e+00,1.538e+01,5.0e-01,0.000e+00,2.9e-03,3.616e+02,4.7e-01,8.928e-03,2.1e-04
1.25,1.009e+00,1.642e+01,3.6e-01,0.000e+00,2.9e-03,2.418e+02,3.5e-01,7.480e-03,1.7e-04
1.75,9.587e-01,2.038e+01,3.0e-01,0.000e+00,2.9e-03,1.777e+02,3.1e-01,5.179e-03,1.4e-04
2.25,9.113e-01,7.318e+00,2.4e-01,0.000e+00,2.9e-03,9.856e+01,2.7e-01,2.730e-03,1.3e-04
2.75,8.662e-01,2.653e+00,2.3e-01,0.000e+00,2.9e-03,6.375e+01,2.7e-01,1.135e-03,1.0e-04
3.25,8.233e-01,2.512e+00,3.1e-01,0.000e+00,3.0e-03,3.164e+01,1.8e-01,0.000e+00,8.5e-05
3.75,7.826e-01,0.000e+00,4.8e-01,0.000e+00,3.0e-03,2.077e+01,1.6e-01,0.000e+00,7.1e-05
4.25,7.439e-01,0.000e+00,1.1e+00,0.000e+00,3.0e-03,1.342e+01,1.6e-01,0.000e+00,6.4e-05
4.75,7.071e-01,nan,nan,0.000e+00,3.0e-03,9.335e+00,1.5e-01,0.000e+00,5.9e-05
5.25,6.721e-01,nan,nan,0.000e+00,3.0e-03,7.314e+00,1.4e-01,0.000e+00,6.1e-05
5.75,6.388e-01,nan,nan,0.000e+00,3.0e-03,5.343e+00,1.4e-01,0.000e+00,6.4e-05
6.25,6.072e-01,nan,nan,0.000e+00,3.0e-03,3.483e+00,1.4e-01,0.000e+00,5.3e-05
6.75,5.772e-01,nan,nan,0.000e+00,3.1e-03,2.478e+00,1.4e-01,0.000e+00,5.6e-05
7.25,5.486e-01,nan,nan,0.000e+00,3.1e-03,1.883e+00,1.3e-01,0.000e+00,nan
7.75,5.215e-01,nan,nan,0.000e+00,3.0e-03,1.418e+00,1.3e-01,0.000e+00,4.5e-05
